Symbol,CompanyName,Exchange,Industry,Website,Description,CEO,IssueType,Sector
"ABC","AmerisourceBergen Corporation","New York Stock Exchange","Medical Distribution","http://www.amerisourcebergen.com","AmerisourceBergen Corp is a pharmaceutical services company. It provides drug distribution and related healthcare services and solutions to pharmacy, physician, and manufacturer customers based in the United States and Canada.","Steven H. Collis","cs","Healthcare"
"ABCB","Ameris Bancorp","Nasdaq Global Select","Banks","https://www.amerisbank.com","Ameris Bancorp provides business through its wholly owned banking subsidiary, Ameris Bank. Services include commercial real estate loans, which accounts for the major source of its income.","Dennis J. Zember","cs","Financial Services"
"ABCD","Cambium Learning Group Inc.","NASDAQ Capital Market","Education","http://www.cambiumlearning.com","Cambium Learning Group Inc is educational solutions and services company. Its brands Learning A-Z, Voyager Sopris Learning, ExploreLearning and Kurzweil Education, provides technology solutions for students and teachers.","John Campbell","cs","Consumer Defensive"
"ABEO","Abeona Therapeutics Inc.","NASDAQ Capital Market","Biotechnology","http://www.abeonatherapeutics.com","Abeona Therapeutics Inc is a clinical-stage biopharmaceutical company. The firm is focused on developing gene therapies and plasma-based products for life-threatening rare genetic diseases.","Frank Carsten Thiel","cs","Healthcare"
"ABG","Asbury Automotive Group Inc","New York Stock Exchange","Autos","http://www.asburyauto.com","Asbury Automotive Group Inc is an US-based automotive retailer. The company owns and operates approximately 90 vehicle franchises. Its franchise brand name includes BMW, Honda, Mercedes-Benz, Ford, Jaguar, Land Rover, Porsche, Toyota, Volvo and others.","David W. Hult","cs","Consumer Cyclical"
"ABM","ABM Industries Incorporated","New York Stock Exchange","Business Services","http://www.abm.com","ABM Industries Inc is engaged in providing end-to-end integrated facility solutions. The services offered by the company includes Electrical, Energy, Facilities Engineering, Landscape and Turf and Parking and Transportation Services.","Scott B. Salmirs","cs","Industrials"
"ABMD","ABIOMED Inc.","Nasdaq Global Select","Medical Devices","http://www.abiomed.com","Abiomed Inc is a medical device company. It provides mechanical circulatory support devices to aid heart recovery to heart failure patients.","Michael R. Minogue","cs","Healthcare"
"ABR","Arbor Realty Trust","New York Stock Exchange","REITs","https://www.arbor.com","Arbor Realty Trust Inc is a real estate specialty finance firm. It invests in a diversified portfolio of structured finance assets in the multi-family and commercial real estate markets. It also invests in real estate-related bridge and mezzanine loans.","Ivan Kaufman","cs","Real Estate"
"ABT","Abbott Laboratories","New York Stock Exchange","Medical Devices","http://www.abbott.com","Abbott Laboratories is a health care company that manufactures medical devices, blood glucose monitoring kits, nutritional healthcare products, diagnostic products and equipment, and branded generic drugs.","Miles D. White","cs","Healthcare"
"ABTX","Allegiance Bancshares Inc.","NASDAQ Global Market","Banks","https://www.allegiancebank.com","Allegiance Bancshares Inc is a bank holding company. The company through its subsidiary provides diversified commercial banking services to Houston metropolitan area-based small to medium-sized businesses and individual customers.","George Martinez","cs","Financial Services"
"ABUS","Arbutus Biopharma Corporation","Nasdaq Global Select","Biotechnology","http://www.arbutusbio.com","Arbutus Biopharma Corp is a biopharmaceutical business engaged in advancing novel RNA interference therapeutics and discovering, developing and commercializing a cure for patients suffering from chronic hepatitis B infection.","Mark Murray","cs","Healthcare"
"AC","Associated Capital Group Inc.","New York Stock Exchange","Brokers & Exchanges","http://www.associated-capital-group.com","Associated Capital Group Inc is a diversified global financial services company. It operates in the business of alternative investment management, institutional research services and cash and other assets through subsidiaries.","Douglas R. Jamieson","cs","Financial Services"
"ACAD","ACADIA Pharmaceuticals Inc.","Nasdaq Global Select","Biotechnology","http://www.acadia-pharm.com","ACADIA Pharmaceuticals Inc is a biotechnology company which develops and commercializes biopharmaceutical products to address central nervous system disorders. It aims to discover small molecule drugs to address Parkinson's, Alzheimer's and schizophrenia.","Stephen R. Davis","cs","Healthcare"
"ACBI","Atlantic Capital Bancshares Inc.","Nasdaq Global Select","Banks","http://www.atlanticcapitalbank.com","Atlantic Capital Bancshares Inc provides a range of credit, treasury management, and deposit products and services to emerging growth businesses, middle market corporations, commercial real estate developers and investors, and private clients.","Douglas L. Williams","cs","Financial Services"
"ACC","American Campus Communities Inc","New York Stock Exchange","REITs","http://www.americancampus.com","American Campus Communities Inc is a real estate investment trust that owns, manages and develops student housing properties in the United States in terms of beds owned, developed, and under management.","William C. Bayless","cs","Real Estate"
"ACCO","Acco Brands Corporation","New York Stock Exchange","Industrial Products","http://www.accobrands.com","ACCO Brands Corp is a manufacturer and marketer of office, school and calendar products and selected computer and electronic accessories. It sells its products to consumers and commercial end-users through resellers.","Boris Elisman","cs","Industrials"
"ACGL","Arch Capital Group Ltd.","Nasdaq Global Select","Insurance","http://www.archcapgroup.bm","Arch Capital Group Ltd provides insurance, reinsurance and mortgage. It provides property, casualty and mortgage insurance and reinsurance lines, and focus on writing specialty lines of insurance and reinsurance.","Marc Grandisson","cs","Financial Services"
"ACHC","Acadia Healthcare Company Inc.","Nasdaq Global Select","Health Care Providers","http://www.acadiahealthcare.com","Acadia Healthcare Co Inc operates mental healthcare facilities in the United States. It addresses behavioral abnormalities in psychiatric facilities, substance abuse facilities, and residential treatment centers.","Joey A. Jacobs","cs","Healthcare"
"ACHN","Achillion Pharmaceuticals Inc.","Nasdaq Global Select","Biotechnology","http://www.achillion.com","Achillion Pharmaceuticals Inc is a biotechnology company. It is engaged in the discovery and development of innovative small-molecule drug therapies for infectious diseases and immune system disorders.","Milind S. Deshpande","cs","Healthcare"
"ACIA","Acacia Communications Inc.","Nasdaq Global Select","Communication Equipment","http://www.acacia-inc.com","Acacia Communications Inc provides optical interconnect products used in communication services industry. It offers sophisticated modules for digital signal processing (DSP) and optical functions required to process network traffic across the world.","Murugesan Shanmugaraj","cs","Technology"
"ACIW","ACI Worldwide Inc.","Nasdaq Global Select","Application Software","http://www.aciworldwide.com","ACI Worldwide Inc together with its subsidiaries develops, markets, installs, and supports software products and services to facilitate electronic payments. It leverages its distribution network in the Americas, Europe, the Middle East, and Africa.","Phillip G. Heasley","cs","Technology"
"ACLS","Axcelis Technologies Inc.","Nasdaq Global Select","Semiconductors","http://www.axcelis.com","Axcelis Technologies Inc produces ion implantation and other processing equipment used in the fabrication of semiconductor chips in the United States, Europe, and Asia. It also provides extensive aftermarket service and support.","Mary G. Puma","cs","Technology"
"ACM","AECOM","New York Stock Exchange","Engineering & Construction","http://www.aecom.com","AECOM provides consulting and engineering services to clients in transportation, facilities, environmental, and other markets. It mainly designs, builds, and operates infrastructure projects for governments, businesses, and organizations.","Michael S. Burke","cs","Industrials"
"ACMR","ACM Research Inc.","NASDAQ Global Market","Semiconductors","http://www.acmrcsh.com","ACM Research Inc develops, manufactures and sells single-wafer wet cleaning equipment which is used for semiconductor industry. Its product is designed to remove random defects from a wafer surface effectively, without damaging a wafer or its features.","David H. Wang","cs","Technology"
"ACN","Accenture plc Class A (Ireland)","New York Stock Exchange","Application Software","http://www.accenture.com","Accenture PLC is a professional service company. It provides consulting, technology and outsourcing services to Communications, Media and Technology, Financial services, Health and Public service, Products and Resources segments.","","cs","Technology"
"ACNB","ACNB Corporation","NASDAQ Capital Market","Banks","http://www.acnb.com","ACNB Corp provides banking, insurance, and financial services to businesses, and consumers through its wholly-owned subsidiaries, ACNB Bank and Russell Insurance Group Inc (RIG). The corporation has two reporting segments, the Bank and RIG.","James Helt","cs","Financial Services"
"ACOR","Acorda Therapeutics Inc.","Nasdaq Global Select","Biotechnology","http://www.acorda.com","Acorda Therapeutics Inc is a biopharmaceutical company. It is engaged in the identification, development & commercialization of novel therapies for the treatment of neurological disorders.","Ron Cohen","cs","Healthcare"
"ACRE","Ares Commercial Real Estate Corporation","New York Stock Exchange","REITs","http://www.arescre.com","Ares Commercial Real Estate Corp is a specialty finance company and a Real Estate Investment Trust providing commercial real estate loans and related investments. The company addresses the financing needs of the middle-market commercial real estate.","James Alan Henderson","cs","Real Estate"
"ACRS","Aclaris Therapeutics Inc.","Nasdaq Global Select","Biotechnology","http://www.aclaristx.com","Aclaris Therapeutics Inc is a clinical-stage specialty pharmaceutical company which focuses on identifying, developing and commercializing differentiated drugs to address significant unmet needs in dermatology.","Neal Walker","cs","Healthcare"
"ACTG","Acacia Research Corporation","Nasdaq Global Select","Business Services","http://www.acaciaresearch.com","Acacia Research Corporation is an intermediary in the patent marketplace, facilitating efficiency and delivering monetary rewards to patent owners.","","cs","Industrials"
"ACXM","Acxiom Corporation","Nasdaq Global Select","Application Software","http://www.acxiom.com","Acxiom Corp is an enterprise data, analytics and software-as-a-service company. Its business segments include Marketing Services, Audience Solutions and Connectivity.","Scott E. Howe","cs","Technology"
"ADBE","Adobe Systems Incorporated","Nasdaq Global Select","Application Software","http://www.adobe.com","Adobe Systems Inc offers a line of software and services for content creation and the measurement of digital advertising and marketing. Its software applications includes Photoshop and Lightroom, Adobe Analytics, Media Optimizer and Campaign Manager.","Shantanu Narayen","cs","Technology"
"ADC","Agree Realty Corporation","New York Stock Exchange","REITs","http://www.agreerealty.com","Agree Realty Corporation is engaged in real estate activities primarily in the United States. It manages retail properties for the purpose of generating shareholders income on a consistent basis.","Joel N. Agree","cs","Real Estate"
"ADI","Analog Devices Inc.","Nasdaq Global Select","Semiconductors","http://www.analog.com","Analog Devices Inc is engaged in the semiconductor industry. Its business involves designing, manufacturing and marketing of high-performance analog, mixed-signal and digital signal processing integrated circuits used in all types of electronic equipment.","Vincent T. Roche","cs","Technology"
"ADM","Archer-Daniels-Midland Company","New York Stock Exchange","Consumer Packaged Goods","http://www.adm.com","Archer-Daniels Midland Co is a major processor of oilseeds, corn, wheat, and other agricultural commodities. The company's end products include vegetable oil and meal, corn sweeteners, flour, feed ingredients, and ethanol.","Juan R. Luciano","cs","Consumer Defensive"
"ADMA","ADMA Biologics Inc","NASDAQ Capital Market","Biotechnology","http://www.admabiologics.com","ADMA Biologics Inc is a biopharmaceutical company. The company develops and manufactures specialty plasma-based biologics for the proposed treatment of immune deficiencies and prevention of certain infectious diseases.","Adam S. Grossman","cs","Healthcare"
"ADMS","Adamas Pharmaceuticals Inc.","NASDAQ Global Market","Drug Manufacturers","http://www.adamaspharma.com","Adamas Pharmaceuticals Inc is a pharmaceutical company focused on the development and commercialization of therapeutics targeting chronic disorders of the central nervous systems. The company has developed and got approved the drug GOCOVRI.","Gregory Went","cs","Healthcare"
"ADNT","Adient plc","New York Stock Exchange","Autos","http://www.adient.com","Adient PLC is engaged in supplying automotive seating. It designs, manufactures and markets seating systems and components for passenger cars, commercial vehicles and light trucks, including vans, pick-up trucks and sport/crossover utility vehicles.","Frederick A. Henderson","cs","Consumer Cyclical"
"ADP","Automatic Data Processing Inc.","Nasdaq Global Select","Business Services","http://www.adp.com","Automatic Data Processing Inc is a provider of miscellaneous business solutions. Its business includes provision of technology-based outsourcing solutions to employers, vehicle retailers and manufacturers.","Carlos A. Rodriguez","cs","Industrials"
"ADRO","Aduro Biotech Inc.","Nasdaq Global Select","Biotechnology","http://www.aduro.com","Aduro Biotech Inc is a clinical-stage biotechnology company focused on the discovery, development and commercialization of therapies that transform the treatment of different diseases.","Stephen T. Isaacs","cs","Healthcare"
"ADS","Alliance Data Systems Corporation","New York Stock Exchange","Credit Services","http://www.alliancedata.com","Alliance Data Systems Corp provides marketing, loyalty, and credit solutions in the United States, Canada, and other countries. The business activity of the group is functioned through LoyaltyOne, Epsilon, and Card service segment.","Edward J. Heffernan","cs","Financial Services"
"ADSK","Autodesk Inc.","Nasdaq Global Select","Application Software","http://www.autodesk.com","Autodesk Inc is engaged in the software industry. It develops software for a number of markets such as construction and media.","Andrew Anagnost","cs","Technology"
"ADSW","Advanced Disposal Services Inc.","New York Stock Exchange","Waste Management","http://www.advanceddisposal.com","Advanced Disposal Services Inc provides ideas and solutions to the business of a clean environment. It offers non-hazardous solid waste collection, transfer, recycling and disposal services to the commercial, industrial and residential customers.","Richard Burke","cs","Industrials"
"ADT","ADT Inc.","New York Stock Exchange","Consulting & Outsourcing","http://www.adt.com","ADT Inc provides monitored security, interactive home and business automation and related monitoring services.","Timothy J. Whall","cs","Industrials"
"ADTN","ADTRAN Inc.","Nasdaq Global Select","Communication Equipment","http://www.adtran.com","Adtran Inc is engaged in providing networking and communications equipment. Its products enable voice, data, video and Internet communications across a variety of network infrastructures.","Thomas R. Stanton","cs","Technology"
"ADUS","Addus HomeCare Corporation","Nasdaq Global Select","Health Care Providers","http://www.addus.com","Addus HomeCare Corp provides home and community based services, which are social in nature and are provided in the home, focused on the dual eligible population.","R. Dirk Allison","cs","Healthcare"
"ADVM","Adverum Biotechnologies Inc.","NASDAQ Global Market","Biotechnology","http://www.adverum.com","Adverum Biotechnologies Inc is a gene therapy company committed to discovering and developing novel medicines that can offer potentially life-changing therapeutic benefit to patients living with rare diseases or diseases of the eye.","Leone Patterson","cs","Healthcare"
"AE","Adams Resources & Energy Inc.","NYSE American","Oil & Gas - Integrated","http://www.adamsresources.com","Adams Resources & Energy Inc along with its subsidiaries is engaged in marketing of crude oil, natural gas and petroleum products; tank truck transportation of liquid chemicals; and oil and gas exploration and production.","","cs","Energy"
"AEE","Ameren Corporation","New York Stock Exchange","Utilities - Regulated","http://www.ameren.com","Ameren Corp is an American power company. It operates a rate-regulated electric generation, transmission, and distribution business and a rate-regulated natural gas transmission and distribution business in Missouri and Illinois.","Warner L. Baxter","cs","Utilities"
"AEGN","Aegion Corp","Nasdaq Global Select","Engineering & Construction","http://www.aegion.com","Aegion Corp is an engineering and construction company combining technologies with market expertise. It provides solutions for the strengthening of buildings, bridges and other structures.","Charles R. Gordon","cs","Industrials"
"AEIS","Advanced Energy Industries Inc.","Nasdaq Global Select","Computer Hardware","http://www.advancedenergy.com","Advanced Energy Industries Inc is engaged in providing precision power-conversion measurement and control solutions which transforms power into various forms for use in manufacturing and industrial equipment and applications.","Yuval Wasserman","cs","Technology"
"AEL","American Equity Investment Life Holding Company","New York Stock Exchange","Insurance - Life","http://www.american-equity.com","American Equity Investment Life Holding Co is engaged in the development and sale of fixed index and fixed rate annuity products. The company through its wholly-owned life insurance subsidiaries issues fixed annuity and life insurance products.","John M. Matovina","cs","Financial Services"
"AEO","American Eagle Outfitters Inc.","New York Stock Exchange","Retail - Apparel & Specialty","http://www.ae.com","American Eagle Outfitters is a retailer of apparel and accessories that also offers personal care products. It sells its products in stores as well as online. It operates stores in the USA, Canada, Mexico, Hong Kong, China and the UK.","Jay L. Schottenstein","cs","Consumer Cyclical"
"AEP","American Electric Power Company Inc.","New York Stock Exchange","Utilities - Regulated","http://www.aep.com","American Electric Power Co Inc is a regulated utilities operator. The company generates, transmits and distributes electricity to more than 5 million retail customers across over 10 states in the United States of America.","Nicholas K. Akins","cs","Utilities"
"AERI","Aerie Pharmaceuticals Inc.","NASDAQ Global Market","Drug Manufacturers","http://www.aeriepharma.com","Aerie Pharmaceuticals Inc is a clinical-stage pharmaceutical company. It is engaged in the discovery, development and commercialization of first-in-class therapies for the treatment of patients with glaucoma and other diseases of the eye.","Vicente Anido","cs","Healthcare"
"AES","The AES Corporation","New York Stock Exchange","Utilities - Regulated","http://www.aes.com","The AES Corp is a power generation and utility company. It is engaged in providing affordable, sustainable energy through its diverse portfolio of thermal and renewable generation facilities as well as distribution businesses.","Andres R. Gluski","cs","Utilities"
"AET","Aetna Inc.","New York Stock Exchange","Health Care Plans","http://www.aetna.com","Aetna Inc is a diversified health care benefits company. The company offers traditional, voluntary and consumer-directed health insurance products and related services, including medical, pharmacy, dental, and behavioral health.","Mark T. Bertolini","cs","Healthcare"
"AFG","American Financial Group Inc.","New York Stock Exchange","Insurance - Property & Casualty","http://www.afginc.com","American Financial Group Inc is a property and casualty insurance company that operates through its subsidiaries. It sells fixed and fixed-indexed annuities in the retail, financial institutions and education markets.","Carl H. Lindner / S. Craig Lindner","cs","Financial Services"
"AFI","Armstrong Flooring Inc.","New York Stock Exchange","Building Materials","http://www.armstrongflooring.com","Armstrong Flooring Inc designs, manufactures, sources, and sells resilient and wood flooring products, which are primarily used for construction and renovation of residential, commercial, and institutional buildings.","Donald R. Maier","cs","Basic Materials"
"AFL","AFLAC Incorporated","New York Stock Exchange","Insurance - Life","http://www.aflac.com","Aflac Inc is a general business holding company and acts as a management company. It offers supplemental health and life insurance in the U.S. and Japan.","Daniel P. Amos","cs","Financial Services"
"AFSI","AmTrust Financial Services Inc.","Nasdaq Global Select","Insurance - Property & Casualty","https://www.amtrustfinancial.com","AmTrust Financial Services Inc underwrites and provides property and casualty insurance products, including workers' compensation, commercial automobile, general liability and warranty coverage, in the United States and internationally.","Barry D. Zyskind","cs","Financial Services"
"AGCO","AGCO Corporation","New York Stock Exchange","Farm & Construction Machinery","http://www.agcocorp.com","AGCO Corp is a Georgia-based company which manufactures and distributes agricultural equipment and related replacement parts in various parts of the country. It sells a full range of agricultural equipment, including tractors, combines, among others.","Martin H. Richenhagen","cs","Industrials"
"AGEN","Agenus Inc.","NASDAQ Capital Market","Biotechnology","http://www.agenusbio.com","Agenus Inc along with its subsidiaries is a pharmaceutical company. It is engaged in discovery and development of revolutionary new treatments that engage the body's immune system to benefit patients suffering from cancer.","Garo H Armen","cs","Healthcare"
"AGFS","AgroFresh Solutions Inc.","Nasdaq Global Select","Agriculture","http://www.agrofresh.com","AgroFresh Solutions Inc creates agricultural technologies that preserve the quality and value of fresh produce and flowers. One such product is SmartFresh, which blocks the effects of ethylene and delays ripening while leaving no visible residue.","Jordi Ferre","cs","Basic Materials"
"AGIO","Agios Pharmaceuticals Inc.","Nasdaq Global Select","Biotechnology","http://www.agios.com","Agios Pharmaceuticals Inc is a biopharmaceutical company which focuses on developing treatments geared towards cancer and rare genetic disorders of metabolism. It also emphasizes on developing potentially transformative small-molecule medicines.","David P. Schenkein","cs","Healthcare"
"AGLE","Aeglea BioTherapeutics Inc.","NASDAQ Global Market","Biotechnology","http://www.aegleabio.com","Aeglea BioTherapeutics Inc is a biopharmaceutical company committed to developing enzyme-based therapeutics in the field of amino acid metabolism, which will transform the lives of patients with inborn errors of metabolism and cancer.","Anthony G. Quinn","cs","Healthcare"
"AGM","Federal Agricultural Mortgage Corporation","New York Stock Exchange","Credit Services","http://www.farmermac.com","Federal Agricultural Mortgage Corp provides agricultural real estate and rural housing mortgage loans in the secondary market in the U.S. Its operations consist of four segments: Farm & Ranch, USDA Guarantees, Rural Utilities, and Institutional Credit.","Lowell L. Junkins","cs","Financial Services"
"AGN","Allergan plc","New York Stock Exchange","Drug Manufacturers","http://www.allergan.com","Allergan PLC is a specialty pharmaceutical company engaged in the development, manufacturing, marketing, and distribution of brand name pharmaceutical products, medical aesthetics, biosimilar and OTC pharmaceutical products.","Brenton L. Saunders","cs","Healthcare"
"AGNC","AGNC Investment Corp.","Nasdaq Global Select","REITs","http://www.agnc.com","AGNC Investment Corp is an internally-managed real estate investment trust. It invests in agency mortgage-backed securities on a leveraged basis, financed through collateralized borrowings structured as repurchase agreements.","Gary D. Kain","cs","Real Estate"
"AGO","Assured Guaranty Ltd.","New York Stock Exchange","Insurance - Specialty","http://www.assuredguaranty.com","Assured Guaranty Ltd is in the financial services industry. The company provides insurance that protects holders of debt instruments and other monetary obligations from defaults in scheduled payments.","Dominic J. Frederico","cs","Financial Services"
"AGR","Avangrid Inc.","New York Stock Exchange","Utilities - Regulated","http://www.avangrid.com","Avangrid Inc is a diversified energy and utility company with operations in more than 20 states. The company operates regulated utilities and electricity generation through two lines of business. Avangrid Networks and Avangrid Renewables.","James P. Torgerson","cs","Utilities"
"AGS","PlayAGS Inc.","New York Stock Exchange","Travel & Leisure","http://www.playags.com","PlayAGS Inc acts as a designer and supplier of gaming products and services for the gaming industry. It supplies electronic gaming machines (EGM), server-based systems and back-office systems which are used by casinos, and various gaming locations.","David B. Lopez","cs","Consumer Cyclical"
"AGX","Argan Inc.","New York Stock Exchange","Engineering & Construction","http://www.arganinc.com","Argan Inc through its subsidiary operates in the power industry services segment. It provides a full range of engineering, procurement and construction services for power-generating projects. It also engages in industrial fabrication and field services.","Rainer H. Bosselmann","cs","Industrials"
"AGYS","Agilysys Inc.","Nasdaq Global Select","Application Software","http://www.agilysys.com","Agilysys Inc develops industry-specific technology solutions for business management. The company offers solutions to manage business operations such as property management, dining reservations, labor management, and document management.","Ramesh Srinivasan","cs","Technology"
"AHH","Armada Hoffler Properties Inc.","New York Stock Exchange","REITs","http://www.armadahoffler.com","Armada Hoffler Properties Inc is a full service real estate company that develops, constructs & owns institutional grade office, retail & multifamily properties in the Mid-Atlantic United States. It also offers general contracting & development services.","Louis S. Haddad","cs","Real Estate"
"AHL","Aspen Insurance Holdings Limited","New York Stock Exchange","Insurance - Specialty","http://www.aspen.co","Aspen Insurance Holdings Ltd is a Bermudian insurance and reinsurance company. It offers property and casualty insurance, marine, aviation and energy insurance, financial and professional lines insurance, property catastrophe reinsurance, among others.","","cs","Financial Services"
"AHT","Ashford Hospitality Trust Inc","New York Stock Exchange","REITs","http://www.ahtreit.com","Ashford Hospitality Trust Inc is engaged in the real estate sector. It is focused on investing in the hospitality industry, especially on full-service upscale and upper-upscale hotels.","Douglas A. Kessler","cs","Real Estate"
"AI","Arlington Asset Investment Corp Class A (new)","New York Stock Exchange","Banks","http://www.arlingtonasset.com","Arlington Asset Investment Corp is an investment firm. It focuses on acquiring and holding a levered portfolio of residential mortgage-backed securities (MBS) consisting of agency MBS and private-label MBS.","J. Rock Tonkel","cs","Financial Services"
"AIG","American International Group Inc.","New York Stock Exchange","Insurance","http://www.aig.com","American International Group Inc is an insurance company. The company through its subsidiaries provides property casualty insurance, life insurance, retirement products, mortgage insurance and other financial services in the United States and abroad.","Brian Duperreault","cs","Financial Services"
"AIMC","Altra Industrial Motion Corp.","Nasdaq Global Select","Industrial Products","http://www.altramotion.com","Altra Industrial Motion Corp is a designer, producer and marketer of electro-mechanical power transmission products. Its products include clutches and brakes, overrunning clutches, engineered bearing assemblies, gearing and gear motors, and belted drives.","Carl R. Christenson","cs","Industrials"
"AIMT","Aimmune Therapeutics Inc.","Nasdaq Global Select","Biotechnology","http://www.aimmune.com","Aimmune Therapeutics Inc is engaged in the field of biotechnology. It researches and develops drug candidates for the treatment of peanut and other food allergies.","Jayson Donald Alexander Dallas","cs","Healthcare"
"AIN","Albany International Corporation","New York Stock Exchange","Homebuilding & Construction","http://www.albint.com","Albany International Corp engages in the business of advanced textiles and materials processing. The company operates across the world offering machine clothing products, engineered fabric, and engineered composites for automotive and aerospace industry.","Olivier M. Jarrault","cs","Consumer Cyclical"
"AINC","Ashford Inc. (Holding Company)","NYSE American","Asset Management","http://www.ashfordinc.com","Ashford Inc provides asset management and advisory services to other entities, within the hospitality industry.","Montgomery J. Bennett","cs","Financial Services"
"AIR","AAR Corp.","New York Stock Exchange","Aerospace & Defense","http://www.aarcorp.com","AAR Corp along with its subsidiaries is engaged in providing products & services including overhaul, repair & engineering services to aviation & government & defense markets. Its business segments are Aviation Services and Expeditionary Services.","John Holmes","cs","Industrials"
"AIT","Applied Industrial Technologies Inc.","New York Stock Exchange","Industrial Distribution","http://www.applied.com","Applied Industrial Technologies Inc is an industrial distributor in North America, Australia, and New Zealand, serving MRO (maintenance, repair, and operations) and OEM (original equipment manufacturing) customers in diversified industries.","Neil A. Schrimsher","cs","Industrials"
"AIV","Apartment Investment and Management Company","New York Stock Exchange","REITs","http://www.aimco.com","Apartment Investment & Management Co is a self-administered and self-managed real estate investment trust, or REIT, engaged in the ownership and operation of a diversified portfolio of apartment properties.","Terry Considine","cs","Real Estate"
"AIZ","Assurant Inc.","New York Stock Exchange","Insurance","http://www.assurant.com","Assurant Inc is a provider of specialized insurance products and related services in North America and selected other international markets.","Alan B. Colberg","cs","Financial Services"
"AJG","Arthur J. Gallagher & Co.","New York Stock Exchange","Brokers & Exchanges","http://www.ajg.com","Arthur J. Gallagher & Co is engaged in providing insurance brokerage and consulting services and third-party claims settlement and administration services to both domestic and international entities.","J. Patrick Gallagher","cs","Financial Services"
